'RLVKEY';'SEMESTER';'TYP';'STUNDEN';'CREDITS';'LV_STATUS_NR';'LV_STATUS';'KOMPONENTEN_TYP';'FRAGE_TYP';'FRAGETEXT';'OPTIONEN';'ANTWORT';'OPTIONNR';'FREITEXT'
'60a07ce179ace92';'22W';'VS';3.0;6.0;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'I really appreciate the possibility to join online. '
'60a07ce179ace92';'22W';'VS';3.0;6.0;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'Highly interactive class'
'60a07ce179ace92';'22W';'VS';3.0;6.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritik bzw. Verbesserungsvorschläge für die LV: ';'n/a';;'-1';'I found the deadlines to narrow, it really stressed me. I didn’t like that we were forced to work during the holidays.  '
'60a07ce179ace92';'22W';'VS';3.0;6.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritik bzw. Verbesserungsvorschläge für die LV: ';'n/a';;'-1';'Absolutely none!'
'6f8b1c088a69d54';'22W';'VO';1.0;1.5;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'Being a blended course allowed everyone to attend either physically or online. Personally, I would not have attended this had it not been blended. '
'6f8b1c088a69d54';'22W';'VO';1.0;1.5;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'Interesting way of presenting concepts that helped with the understanding on the subject.'
'6f8b1c088a69d54';'22W';'VO';1.0;1.5;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'Using specific examples that helped describe the concept.'
'6f8b1c088a69d54';'22W';'VO';1.0;1.5;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'The Lecturer is so creative with his teaching '
'6f8b1c088a69d54';'22W';'VO';1.0;1.5;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritik bzw. Verbesserungsvorschläge für die LV: ';'n/a';;'-1';'None'
'6f8b1c088a69d54';'22W';'VO';1.0;1.5;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritik bzw. Verbesserungsvorschläge für die LV: ';'n/a';;'-1';'It was one of my favorite lectures in my degree program.'
'6f8b1c088a69d54';'22W';'VO';1.0;1.5;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Anregungen und Kommentare zum Fragebogen: ';'n/a';;'-1';'Since the course is blended, the exam could also be offered online so that those who have been following the course online also have a chance to do the exam.'
'6f8b1c088a69d54';'22W';'VO';1.0;1.5;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Anregungen und Kommentare zum Fragebogen: ';'n/a';;'-1';'None'
'c2e6a4ae0455545';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'The professor engaged the class very well and maintained the cohesion of the discussions very fairly. the discussions helped me alot in the understanding of the concepts. One of the best professors I have encountered so far.'
'c2e6a4ae0455545';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'Discussions including examples for each theory and topic'
'c2e6a4ae0455545';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'The course materials provided are very helpful and the Professor is very supportive and explains everything until you understand every topic in the course. '
'c2e6a4ae0455545';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'Die zahlreichende Beispiele und Diskussionen'
'c2e6a4ae0455545';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritik bzw. Verbesserungsvorschläge für die LV: ';'n/a';;'-1';'None'
'c2e6a4ae0455545';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritik bzw. Verbesserungsvorschläge für die LV: ';'n/a';;'-1';'No.'
'c2e6a4ae0455545';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritik bzw. Verbesserungsvorschläge für die LV: ';'n/a';;'-1';'Die LVs vielleicht in einem mehrere kurze Termin bitten.
Statt 4 Stunden dauern vielleicht 3 Stunden aber natürlich an mehrere Tagen. '
'c2e6a4ae0455545';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritik bzw. Verbesserungsvorschläge für die LV: ';'n/a';;'-1';'All is okay'
'c2e6a4ae0455545';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Anregungen und Kommentare zum Fragebogen: ';'n/a';;'-1';'All clear'
'c2e6a4ae0455545';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Anregungen und Kommentare zum Fragebogen: ';'n/a';;'-1';'No additional comments'
'c2e6a4ae0455545';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Anregungen und Kommentare zum Fragebogen: ';'n/a';;'-1';'No.'
'91b2a7987c1aa68';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'The course is very interesting, I enjoyed it'
'91b2a7987c1aa68';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'Amazing professor and interactive course'
'91b2a7987c1aa68';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritik bzw. Verbesserungsvorschläge für die LV: ';'n/a';;'-1';'Everything is fine, I do not have suggestions'
'91b2a7987c1aa68';'22W';'VO';1.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Anregungen und Kommentare zum Fragebogen: ';'n/a';;'-1';'No suggestions'
'a1346e46084e030';'22W';'VC';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'discussion between colleagues. '
'a1346e46084e030';'22W';'VC';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'In der LV war Folgendes besonders hilfreich für meinen Lernprozess: ';'n/a';;'-1';'Learning from the diverse team'
'a1346e46084e030';'22W';'VC';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritik bzw. Verbesserungsvorschläge für die LV: ';'n/a';;'-1';'Unfortunately this class did not go as I expected. There are several points: 
- time management: The time management of the professor was really bad. We had an agenda, that everyone saw but somehow we managed to be behind by one hour everytime. 
- outdated sources: unfortunately the sources the professor used were really outdated and should have been updated with more current literature. 
- online class: we had the first class in person on campus but then it switched to online class even though everyone was present in Klagenfurt. This caused a lot of troubles as people were not in quiet rooms, internet was unstable, etc. 
Also the discussion would have been way more easier if it would have been in person on campus. 
I actually like the topics of this course, however I think it could have been way more structured. (pre-set groups that discuss every topic, concrete questions that are to be discussed, ...) I am rather disappointed because the class would have great potential as the topics of cultural skills and doing business in several countries is really, really interesting. '
