Fragetext,Antwort,Sprache,Sentiment,Zahlenwert
Das ist der Fragetext 1,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 2,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 3,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 4,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 5,,unknown,not analyzed,
Das ist der Fragetext 6,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 7,,unknown,not analyzed,
Das ist der Fragetext 8,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 9,,unknown,not analyzed,
Das ist der Fragetext 10,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 11,,unknown,not analyzed,
Das ist der Fragetext 12,,unknown,not analyzed,
Das ist der Fragetext 13,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 14,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 15,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 16,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 17,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 18,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 19,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 20,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 21,,unknown,not analyzed,
Das ist der Fragetext 22,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 23,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 24,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 25,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 26,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 27,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 28,,unknown,not analyzed,
Das ist der Fragetext 29,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 30,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 31,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 32,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 33,gut strukturierte LV,no,not analyzed,
