Fragetext,Antwort,Sprache,Sentiment,Zahlenwert
Das ist der Fragetext 1,,unknown,not analyzed,
Das ist der Fragetext 2,,unknown,not analyzed,
Das ist der Fragetext 3,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 4,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 5,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 6,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 7,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 8,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 9,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 10,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 11,,unknown,not analyzed,
Das ist der Fragetext 12,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 13,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 14,,unknown,not analyzed,
Das ist der Fragetext 15,,unknown,not analyzed,
Das ist der Fragetext 16,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 17,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 18,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 19,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 20,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 21,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 22,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 23,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 24,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 25,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 26,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 27,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 28,,unknown,not analyzed,
Das ist der Fragetext 29,,unknown,not analyzed,
Das ist der Fragetext 30,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 31,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 32,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 33,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 34,,unknown,not analyzed,
Das ist der Fragetext 35,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 36,,unknown,not analyzed,
Das ist der Fragetext 37,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 38,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 39,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 40,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 41,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 42,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 43,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 44,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 45,,unknown,not analyzed,
Das ist der Fragetext 46,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 47,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 48,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 49,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 50,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 51,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 52,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 53,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 54,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 55,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 56,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 57,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 58,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 59,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 60,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 61,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 62,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 63,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 64,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 65,,unknown,not analyzed,
Das ist der Fragetext 66,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 67,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 68,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 69,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 70,,unknown,not analyzed,
Das ist der Fragetext 71,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 72,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 73,,unknown,not analyzed,
Das ist der Fragetext 74,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 75,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 76,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 77,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 78,,unknown,not analyzed,
Das ist der Fragetext 79,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 80,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 81,,unknown,not analyzed,
Das ist der Fragetext 82,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 83,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 84,,unknown,not analyzed,
Das ist der Fragetext 85,,unknown,not analyzed,
Das ist der Fragetext 86,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 87,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 88,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 89,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 90,,unknown,not analyzed,
Das ist der Fragetext 91,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 92,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 93,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 94,,unknown,not analyzed,
Das ist der Fragetext 95,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 96,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 97,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 98,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 99,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 100,,unknown,not analyzed,
Das ist der Fragetext 101,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 102,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 103,auf Studierende eingegangen,de,negative,-0.9036375433206558
